source_line,category_title,domain_and_series,source,quality,legacy_rejection_basis_seed,integrity_status,editorial_disposition,legacy_guard_action,reason_class,first_principles_rationale,recommended_next_action,linked_tracker_ids,linked_tracker_dispositions
589,Most asylum seekers originating,Displacement · population:coo:asylum_seekers,UNHCR,95,generic_v15_rejected_only,verified,advance_to_validation,clear_generic_legacy_block,broad_intuitive_distinct,"Broad, recognizable displacement measure with a distinct player-facing question; the old generic rejection is not a sufficient reason to suppress it.",Use the recovered UNHCR Refugee Data Finder importer; validate coverage/year consistency and then clear the legacy-only blocker.,family:unhcr:most-asylum-seekers-originating,ready_for_source_family_validation
594,Highest cabbage yield,Vegetables · QCL:'01212:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
595,Highest carrots and turnips yield,Vegetables · QCL:'01251:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
596,Highest wheat yield,Crops · QCL:'0111:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
598,Highest barley yield,Crops · QCL:'0115:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
600,Lowest upper-secondary out-of-school rate,Education · ROFST.MOD.3,UNESCO UIS,94,generic_v15_rejected_only,verified,advance_to_validation,clear_generic_legacy_block,broad_intuitive_distinct,"Out-of-school rates are intuitive, globally meaningful education-access measures; primary and upper-secondary provide meaningfully different stages without keeping every adjacent stage.",Validate the UNESCO UIS source-family rows and retain only these stage anchors unless later playtesting supports more.,family:unesco:lowest-upper-secondary-out-of-school,ready_for_source_family_validation
601,Lowest lower-secondary out-of-school rate,Education · ROFST.MOD.2,UNESCO UIS,94,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,family_density_near_duplicate_v16_2_6_final_curation,"Plausible in isolation, but too close to a stronger retained stage/subject/infrastructure anchor or part of an over-dense education family; needs family-level curation before any legacy block is cleared. Final v16.2.6 curation decision: this concept is not selected for the playable core, so there is no reason to leave its legacy state unresolved.","Keep excluded for v16.2.6. A future release may explicitly reopen it, but the historical rejection is now backed by this current editorial curation decision.",family:unesco:lowest-lower-secondary-out-of-school,ready_for_source_family_validation
602,Most fruit produced,Fruit · QCL:'F1738:5412,FAOSTAT,,generic_v15_rejected_only,verified,clear_legacy_block_current_path_governs,clear_generic_legacy_block,current_canonical_path_governs,"This legacy row collides with a current retained/validated-path concept (Most fruit produced). The old rejected source/path must remain dead, but its title-level legacy veto must not disable the current canonical path.","Clear only the historical title/semantic veto. Keep the old source row excluded and let the current category pass the normal source, quality, duplicate and editorial gates.",existing:QCL:'F1738:5510,retained_existing_subject_to_shared_gate
603,"Highest Roots and Tubers, Total yield",Agriculture · QCL:'F1720:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
604,Highest Vegetables Primary yield,Vegetables · QCL:'F1735:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
