category_id,title,source_organization,source_indicator_code,prior_editorial_status,prior_validation_status,prior_ranking_completeness_status,prior_primary_blocker,prior_blocker_class,v16_2_2_decision,rationale
comtrade:most-coal-exported,Largest coal exports,UN Comtrade,2701,pending,verified,top_end_complete,Below the source-specific quality floor.,source_specific_quality,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
eia:most-crude-oil-produced,Most crude oil produced,U.S. EIA,57:1,needs_discussion,failed,comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
eia:most-natural-gas-produced,Most natural gas produced,U.S. EIA,26:1,needs_discussion,failed,comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
natural-earth:highest-coastline-density,Most coastline for its size,Natural Earth,highest-coastline-density,pending,verified,comprehensive,GeoStats v15 authoritative category review state: pending.,editorial_content_review,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
who:PHE_HHAIR_PROP_POP_CLEAN_FUELS,Highest share using clean cooking fuels,WHO,PHE_HHAIR_PROP_POP_CLEAN_FUELS,pending,unable_to_verify,non_comprehensive,Fewer than 30 countries have comparable observations.,ranking_completeness,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
worldbank-catalog:ag-con-fert-pt-zs,Highest fertilizer consumption,World Bank,AG.CON.FERT.PT.ZS,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:ag-lnd-irig-ag-zs,Highest agricultural irrigated land,World Bank,AG.LND.IRIG.AG.ZS,pending,unable_to_verify,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,needs_discussion,"v16.2.2 catalog review: worthwhile concept, but source coverage/audit or comparability needs focused follow-up before gameplay."
worldbank-catalog:bm-klt-dinv-wd-gd-zs,"Highest foreign direct investment, net outflows",World Bank,BM.KLT.DINV.WD.GD.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:bn-cab-xoka-cd,Highest current account balance,World Bank,BN.CAB.XOKA.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:bn-cab-xoka-gd-zs,Highest current account balance,World Bank,BN.CAB.XOKA.GD.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
