source,source_indicator_code,original_title,decision,player_title,reason
World Bank,SP.POP.TOTL,Largest population,approved,Largest population,Retained after full editorial review; quality and provenance gates still apply.
World Bank,SP.RUR.TOTL,Largest rural population,excluded,,Near-duplicate of total population and rural population share.
World Bank,SP.URB.TOTL,Largest urban population,excluded,,Near-duplicate of total population and urbanization measures.
World Bank,TX.VAL.MRCH.CD.WT,Largest merchandise exports,approved,Largest merchandise exports,Retained after full editorial review; quality and provenance gates still apply.
World Bank,TM.VAL.MRCH.CD.WT,Largest merchandise imports,approved,Largest merchandise imports,Retained after full editorial review; quality and provenance gates still apply.
World Bank,NY.GDP.MKTP.CD,Largest economy,approved,Largest economy,Retained after full editorial review; quality and provenance gates still apply.
World Bank,SP.POP.GROW,Fastest population growth,approved,Fastest population growth,Retained after full editorial review; quality and provenance gates still apply.
World Bank,NY.GDP.PCAP.CD,Highest GDP per person,approved,Highest GDP per person,Retained after full editorial review; quality and provenance gates still apply.
World Bank,SP.POP.65UP.TO.ZS,Oldest population,approved,Oldest population,Retained after full editorial review; quality and provenance gates still apply.
World Bank,SP.RUR.TOTL.ZS,Highest rural population share,approved,Highest rural population share,Retained after full editorial review; quality and provenance gates still apply.
World Bank,SP.POP.0014.TO.ZS,Youngest population,approved,Youngest population,Retained after full editorial review; quality and provenance gates still apply.
World Bank,NY.GDP.MKTP.KD.ZG,Fastest economic growth,approved,Fastest economic growth,Retained after full editorial review; quality and provenance gates still apply.
World Bank,NV.AGR.TOTL.CD,Largest agricultural economy,approved,Largest agricultural economy,Retained after full editorial review; quality and provenance gates still apply.
World Bank,ER.LND.PTLD.ZS,Highest protected-land share,approved,Highest protected-land share,Retained after full editorial review; quality and provenance gates still apply.
UNHCR,asylum-applications:coo:applied,Most asylum applications by origin,approved,Most asylum applications by origin,Retained after full editorial review; quality and provenance gates still apply.
UNHCR,population:coo:asylum_seekers,Most asylum seekers originating,excluded,,Stock measure is too similar to refugees originating and asylum-application flows.
UNHCR,population:coo:refugees,Most refugees originating,approved,Most refugees originating,Retained after full editorial review; quality and provenance gates still apply.
World Bank,NV.IND.MANF.CD,Largest manufacturing output,approved,Largest manufacturing output,Retained after full editorial review; quality and provenance gates still apply.
UNHCR,population:coa:refugees,Most refugees hosted,approved,Most refugees hosted,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'01212:5412,Highest Cabbages yield,approved,Highest cabbage yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01251:5412,Highest Carrots and turnips yield,approved,Highest carrots and turnips yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0111:5412,Highest Wheat yield,approved,Highest wheat yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0115:5510,Largest Barley production,approved,Largest barley production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0115:5412,Highest Barley yield,approved,Highest barley yield,"Recognizable, clear measure, and no stronger duplicate."
World Bank,IT.MLT.MAIN.P2,Highest fixed telephone subscriptions per 100 people,approved,Highest fixed telephone subscriptions per 100 people,Retained after full editorial review; quality and provenance gates still apply.
WHO,WHS4_117,Highest hepatitis B vaccination rate,approved,Highest hepatitis B vaccination rate,Retained after full editorial review; quality and provenance gates still apply.
WHO,WHS8_110,Highest measles vaccination rate,approved,Highest measles vaccination rate,Retained after full editorial review; quality and provenance gates still apply.
World Bank,SH.XPD.CHEX.PC.CD,Highest health spending per person,approved,Highest health spending per person,Retained after full editorial review; quality and provenance gates still apply.
UNESCO UIS,ROFST.MOD.3,Lowest upper-secondary out-of-school rate,excluded,,Near-inverse of upper-secondary completion and too similar to other school-attainment categories.
UNESCO UIS,ROFST.MOD.2,Lowest lower-secondary out-of-school rate,excluded,,Near-inverse of lower-secondary completion and too similar to other school-attainment categories.
FAOSTAT,QCL:'F1738:5412,Highest Fruit Primary yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
World Bank,NV.IND.TOTL.ZS,Highest industry share of GDP,approved,Highest industry share of GDP,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'F1720:5412,"Highest Roots and Tubers, Total yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'F1735:5412,Highest Vegetables Primary yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
ILOSTAT,SDG_0821_NOC_RT_A,Fastest labor-productivity growth,approved,Fastest labor-productivity growth,Retained after full editorial review; quality and provenance gates still apply.
ILOSTAT,EMP_2WAP_SEX_AGE_RT_A,Highest employment-to-population ratio,approved,Highest employment-to-population ratio,Retained after full editorial review; quality and provenance gates still apply.
ILOSTAT,SDG_1041_NOC_RT_A,Highest labor-income share of GDP,approved,Highest labor-income share of GDP,Retained after full editorial review; quality and provenance gates still apply.
ILOSTAT,GDP_205U_NOC_NB_A,Highest output per worker,approved,Highest output per worker,Retained after full editorial review; quality and provenance gates still apply.
ILOSTAT,UNE_2EAP_SEX_AGE_RT_A,Lowest unemployment rate,approved,Lowest unemployment rate,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'02211:5417,Highest Raw milk of cattle yield,approved,Highest milk yield per cow,"Recognizable, clear measure, and no stronger duplicate."
World Bank,NE.EXP.GNFS.CD,Largest exports,excluded,,Superseded by the broader-coverage merchandise-exports category.
World Bank,NE.IMP.GNFS.CD,Largest imports,excluded,,Superseded by the broader-coverage merchandise-imports category.
UNESCO UIS,CR.MOD.1,Highest primary-school completion rate,approved,Highest primary-school completion rate,Retained after full editorial review; quality and provenance gates still apply.
UNESCO UIS,CR.MOD.2,Highest lower-secondary completion rate,excluded,,Middle-stage completion is redundant when primary and upper-secondary completion are retained.
UNESCO UIS,CR.MOD.3,Highest upper-secondary completion rate,approved,Highest upper-secondary completion rate,Retained after full editorial review; quality and provenance gates still apply.
UNHCR,population:coa:asylum_seekers,Most asylum seekers hosted,excluded,,Stock measure is too similar to refugees hosted and asylum applications received.
FAOSTAT,QCL:'0112:5412,Highest Maize (corn) yield,approved,Highest corn yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01510:5412,Highest Potatoes yield,approved,Highest potatoes yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01253.02:5412,"Highest Onions and shallots, dry (excluding dehydrated) yield",approved,Highest onions and shallots yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'F1723:5412,Highest Sugar Crops Primary yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01232:5412,Highest Cucumbers and gherkins yield,approved,Highest cucumbers and gherkins yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01231:5412,"Highest Chillies and peppers, green (Capsicum spp. and Pimenta spp.) yield",approved,Highest green chilies and peppers yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0111:5312,Largest Wheat harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'0111:5510,Largest Wheat production,approved,Largest wheat production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0113:5412,Highest Rice yield,approved,Highest rice yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'0115:5312,Largest Barley harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01252:5412,Highest Green garlic yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01322:5412,Highest Lemons and limes yield,approved,Highest lemons and limes yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01214:5412,Highest Lettuce and chicory yield,approved,Highest lettuce and chicory yield,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01241.90:5412,"Highest Other beans, green yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'0141:5412,Highest Soya beans yield,approved,Highest soybeans yield,"Recognizable, clear measure, and no stronger duplicate."
World Bank,IT.NET.BBND.P2,Highest fixed broadband subscriptions per 100 people,approved,Highest fixed broadband subscriptions per 100 people,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'F1720:5510,"Largest Roots and Tubers, Total production",approved,Largest roots and tubers production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'F1806:5417,"Highest Beef and Buffalo Meat, primary yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'02111:5111,Largest Cattle stocks,approved,Largest cattle population,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'21111.01:5417,"Highest Meat of cattle with the bone, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'21121:5424,"Highest Meat of chickens, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'F1808:5424,"Highest Meat, Poultry yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'F1780:5417,"Highest Milk, Total yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'02211:5510,Largest Raw milk of cattle production,approved,Largest cow's milk production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'F1717:5312,"Largest Cereals, primary harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'F1717:5510,"Largest Cereals, primary production",approved,Largest cereals production,"Recognizable, clear measure, and no stronger duplicate."
