source_family,importer,tracker_id,category_key,category_title,current_category_title,approved_title_rewrite,key_present,title_present,represented_in_importer_catalog,explicitly_blocked,recovery_status,activation_certified
WHO Global Health Observatory,scripts/import-who.py,family:who:highest-healthy-life-expectancy,highest-healthy-life-expectancy,Highest healthy life expectancy,Highest healthy life expectancy,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-maternal-mortality,lowest-maternal-mortality,Lowest maternal mortality,Lowest maternal mortality,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-neonatal-mortality,lowest-neonatal-mortality,Lowest neonatal mortality,Lowest neonatal mortality,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-under-five-mortality,lowest-under-five-mortality,Lowest under-five mortality,Lowest under-five mortality,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-suicide-rate,lowest-suicide-rate,Lowest suicide rate,Lowest suicide rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-road-traffic-death-rate,lowest-road-traffic-death-rate,Lowest road-traffic death rate,Lowest road-traffic death rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-premature-ncd-mortality,lowest-premature-ncd-mortality,Lowest premature noncommunicable-disease mortality,Lowest premature noncommunicable-disease mortality,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-cardiovascular-death-rate,lowest-cardiovascular-death-rate,Lowest cardiovascular death rate,Lowest cardiovascular death rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-cancer-death-rate,lowest-cancer-death-rate,Lowest cancer death rate,Lowest cancer death rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-diabetes-death-rate,lowest-diabetes-death-rate,Lowest diabetes death rate,Lowest diabetes death rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-respiratory-death-rate,lowest-respiratory-death-rate,Lowest chronic respiratory-disease death rate,Lowest chronic respiratory-disease death rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-tuberculosis-incidence,lowest-tuberculosis-incidence,Lowest tuberculosis incidence,Lowest tuberculosis incidence,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-tuberculosis-death-rate,lowest-tuberculosis-death-rate,Lowest tuberculosis death rate,Lowest tuberculosis death rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-malaria-incidence,lowest-malaria-incidence,Lowest malaria incidence,Lowest malaria incidence,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-hiv-incidence,lowest-hiv-incidence,Lowest HIV incidence,Lowest HIV incidence,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-hepatitis-b-incidence,lowest-hepatitis-b-incidence,Lowest hepatitis B incidence,Lowest hepatitis B incidence,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-obesity-rate,lowest-obesity-rate,Lowest adult obesity rate,Lowest adult obesity rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-overweight-rate,lowest-overweight-rate,Lowest adult overweight rate,Lowest adult overweight rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-underweight-rate,lowest-underweight-rate,Lowest adult underweight rate,Lowest adult underweight rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-high-blood-pressure-rate,lowest-high-blood-pressure-rate,Lowest high-blood-pressure rate,Lowest high-blood-pressure rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-high-blood-glucose-rate,lowest-high-blood-glucose-rate,Lowest high-blood-glucose rate,Lowest high-blood-glucose rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-tobacco-use,lowest-tobacco-use,Lowest tobacco-use rate,Lowest tobacco-use rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-cigarette-smoking,lowest-cigarette-smoking,Lowest cigarette-smoking rate,Lowest cigarette-smoking rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-alcohol-consumption,lowest-alcohol-consumption,Lowest alcohol consumption,Lowest alcohol consumption,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:lowest-harmful-alcohol-use,lowest-harmful-alcohol-use,Lowest alcohol-attributable death rate,Lowest alcohol-attributable death rate,False,True,True,True,False,represented,False
WHO Global Health Observatory,scripts/import-who.py,family:who:highest-physical-inactivity,highest-physical-inactivity,Highest physical-inactivity rate,Highest physical-inactivity rate,False,True,True,True,False,represented,False
