title,family,indicator,source,quality,year,coverage,official,modeled,credibility_score,trust_status,evidence_label,comparability_risk,corroboration_status,v13_5_action,trust_reason
Largest population,Population,SP.POP.TOTL,World Bank,99,2025,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Largest merchandise exports,Trade,TX.VAL.MRCH.CD.WT,World Bank,99,2025,190,—,—,95,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs and trade records harmonized through international statistical systems.
Largest merchandise imports,Trade,TM.VAL.MRCH.CD.WT,World Bank,99,2025,190,—,—,95,approved,Observed/administrative,low,internationally_reconciled,eligible after trust gate,Customs and trade records harmonized through international statistical systems.
Largest economy,Economy,NY.GDP.MKTP.CD,World Bank,99,2025,189,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Fastest population growth,Population,SP.POP.GROW,World Bank,98,2025,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest GDP per person,Economy,NY.GDP.PCAP.CD,World Bank,98,2025,189,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Oldest population,Population,SP.POP.65UP.TO.ZS,World Bank,97,2025,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest rural population share,Population,SP.RUR.TOTL.ZS,World Bank,96,2025,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Youngest population,Population,SP.POP.0014.TO.ZS,World Bank,96,2025,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Fastest economic growth,Economy,NY.GDP.MKTP.KD.ZG,World Bank,96,2025,189,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Largest agricultural economy,Agriculture,NV.AGR.TOTL.CD,World Bank,96,2025,183,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Highest protected-land share,Environment,ER.LND.PTLD.ZS,World Bank,95,2025,193,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Most asylum applications by origin,Displacement,asylum-applications:coo:applied,UNHCR,95,2025,187,100%,0%,86,approved,Observed/administrative,medium,single_system,eligible after trust gate,Operational registration and asylum records standardized by UNHCR; registration-system differences remain possible.
Most refugees originating,Displacement,population:coo:refugees,UNHCR,95,2025,186,100%,0%,86,approved,Observed/administrative,medium,single_system,eligible after trust gate,Operational registration and asylum records standardized by UNHCR; registration-system differences remain possible.
Largest manufacturing output,Economy,NV.IND.MANF.CD,World Bank,95,2025,175,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Most refugees hosted,Displacement,population:coa:refugees,UNHCR,95,2025,162,100%,0%,86,approved,Observed/administrative,medium,single_system,eligible after trust gate,Operational registration and asylum records standardized by UNHCR; registration-system differences remain possible.
Highest cabbage yield,Vegetables,QCL:'01212:5412,FAOSTAT,95,2024,141,55%,45%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest carrots and turnips yield,Vegetables,QCL:'01251:5412,FAOSTAT,95,2024,127,57%,43%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest wheat yield,Crops,QCL:'0111:5412,FAOSTAT,95,2024,120,67%,33%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest barley production,Crops,QCL:'0115:5510,FAOSTAT,95,2024,101,73%,27%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest barley yield,Crops,QCL:'0115:5412,FAOSTAT,95,2024,100,73%,27%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest fixed telephone subscriptions per 100 people,Technology,IT.MLT.MAIN.P2,World Bank,94,2024,193,—,—,76,caution,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,ITU-standardized telecommunications administrative data; subscription definitions and national reporting practices can still differ.
Highest hepatitis B vaccination rate,Vaccination,WHS4_117,WHO,94,2025,193,—,—,82,caution,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"WHO immunization coverage series. Retained as standardized reported/estimated coverage, not represented as an independently measured census."
Highest measles vaccination rate,Vaccination,WHS8_110,WHO,94,2025,193,—,—,82,caution,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"WHO immunization coverage series. Retained as standardized reported/estimated coverage, not represented as an independently measured census."
Highest health spending per person,Health,SH.XPD.CHEX.PC.CD,World Bank,94,2024,191,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest industry share of GDP,Economy,NV.IND.TOTL.ZS,World Bank,94,2025,185,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Highest milk yield per cow,Livestock,QCL:'02211:5417,FAOSTAT,94,2024,176,39%,61%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest primary-school completion rate,Education,CR.MOD.1,UNESCO UIS,94,2025,165,0%,100%,80,caution,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Highest upper-secondary completion rate,Education,CR.MOD.3,UNESCO UIS,94,2025,164,0%,100%,80,caution,Modeled estimate,medium,internationally_reconciled,eligible after trust gate,"UIS harmonizes national administrative and survey data, but definitions and measurement capacity can vary across countries."
Highest corn yield,Crops,QCL:'0112:5412,FAOSTAT,94,2024,159,55%,45%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest potatoes yield,Crops,QCL:'01510:5412,FAOSTAT,94,2024,149,58%,42%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest onions and shallots yield,Vegetables,QCL:'01253.02:5412,FAOSTAT,94,2024,137,56%,44%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest cucumbers and gherkins yield,Vegetables,QCL:'01232:5412,FAOSTAT,94,2024,127,57%,43%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest green chilies and peppers yield,Vegetables,QCL:'01231:5412,FAOSTAT,94,2024,122,51%,49%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest wheat production,Crops,QCL:'0111:5510,FAOSTAT,94,2024,121,69%,31%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest rice yield,Crops,QCL:'0113:5412,FAOSTAT,94,2024,113,52%,48%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest lemons and limes yield,Fruit,QCL:'01322:5412,FAOSTAT,94,2024,100,36%,64%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest lettuce and chicory yield,Agriculture,QCL:'01214:5412,FAOSTAT,94,2024,100,52%,48%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest soybeans yield,Crops,QCL:'0141:5412,FAOSTAT,94,2024,100,61%,39%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest fixed broadband subscriptions per 100 people,Technology,IT.NET.BBND.P2,World Bank,93,2024,192,—,—,76,caution,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,ITU-standardized telecommunications administrative data; subscription definitions and national reporting practices can still differ.
Highest methane emissions,Environment,EN.GHG.CH4.MT.CE.AR5,World Bank,93,2024,186,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest total CO₂ emissions,Environment,EN.GHG.CO2.MT.CE.AR5,World Bank,93,2024,186,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Largest roots and tubers production,Agriculture,QCL:'F1720:5510,FAOSTAT,93,2024,184,53%,47%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
