tracker_id,scope_type,category_title,domain,experience_bucket,semantic_family,source_candidate,source_indicator,common_year,country_coverage,integrity,user_note,requested_action,research_status,implementation_status,final_disposition,blocker_or_reason,source_url,validation_requirements,generation_priority_candidate
existing:IS.AIR.DPRT,existing_playable,"Highest air transport, registered carrier departures worldwide",Infrastructure,,,World Bank,IS.AIR.DPRT,2023,148,verified,Don't see this often,retain_exposure_review,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/IS.AIR.DPRT,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:AG.LND.ARBL.HA.PC,existing_playable,Highest arable land,Agriculture,,,World Bank,AG.LND.ARBL.HA.PC,2023,191,verified,Great Category,retain_priority,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/AG.LND.ARBL.HA.PC,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FB.ATM.TOTL.P5,existing_playable,Highest automated teller machines (ATMs),Economy,,,World Bank,FB.ATM.TOTL.P5,2024,147,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/FB.ATM.TOTL.P5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_BUDDHIST_SHARE,existing_playable,Highest Buddhist share,Religion,,,Pew Research Center,PEW_RELIGION_2020_BUDDHIST_SHARE,2020,179,verified,Never seen this in game play,retain_exposure_review,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CO2.AG.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Agriculture,Environment,,,World Bank,EN.GHG.CO2.AG.MT.CE.AR5,2024,109,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CO2.AG.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CO2.BU.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Building (Energy),Environment,,,World Bank,EN.GHG.CO2.BU.MT.CE.AR5,2024,182,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CO2.BU.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CO2.IC.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Industrial Combustion (Energy),Environment,,,World Bank,EN.GHG.CO2.IC.MT.CE.AR5,2024,182,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CO2.IC.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CO2.IP.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Industrial Processes,Environment,,,World Bank,EN.GHG.CO2.IP.MT.CE.AR5,2024,186,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CO2.IP.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CO2.TR.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Transport (Energy),Environment,,,World Bank,EN.GHG.CO2.TR.MT.CE.AR5,2024,182,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CO2.TR.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:NE.GDI.STKB.CD,existing_playable,Highest changes in inventories,Economy,,,World Bank,NE.GDI.STKB.CD,2025,106,verified,"Never seen this in game play, also confusing what this means",clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/NE.GDI.STKB.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.GSR.ROYL.CD,existing_playable,"Highest charges for the use of intellectual property, payments",Economy,,,World Bank,BM.GSR.ROYL.CD,2024,139,verified,Never seen this in game play,retain_exposure_review,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.GSR.ROYL.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.ROYL.CD,existing_playable,"Highest charges for the use of intellectual property, receipts",Economy,,,World Bank,BX.GSR.ROYL.CD,2024,120,verified,Never seen this in game play,retain_exposure_review,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.ROYL.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_CHRISTIAN_SHARE,existing_playable,Highest Christian share,Religion,,,Pew Research Center,PEW_RELIGION_2020_CHRISTIAN_SHARE,2020,179,verified,Never seen this in game play,retain_exposure_review,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FB.CBK.BRCH.P5,existing_playable,Highest commercial bank branches,Economy,,,World Bank,FB.CBK.BRCH.P5,2024,149,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/FB.CBK.BRCH.P5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GSR.CMCP.ZS,existing_playable,Highest communications and IT export share,Economy,,,World Bank,BX.GSR.CMCP.ZS,2024,159,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GSR.CMCP.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CO2.PI.MT.CE.AR5,existing_playable,Highest CO₂ emissions from power generation,Environment,,,World Bank,EN.GHG.CO2.PI.MT.CE.AR5,2024,182,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CO2.PI.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:SE.XPD.TOTL.GD.ZS,existing_playable,Highest education-spending share of GDP,Education,,,World Bank,SE.XPD.TOTL.GD.ZS,2023,112,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EG.ELC.LOSS.ZS,existing_playable,Highest electricity transmission and distribution loss rate,Energy,,,World Bank,EG.ELC.LOSS.ZS,2023,145,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EG.ELC.LOSS.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EG.USE.ELEC.KH.PC,existing_playable,Highest electricity use per person,Energy,,,World Bank,EG.USE.ELEC.KH.PC,2023,145,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EG.USE.ELEC.KH.PC,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EG.USE.PCAP.KG.OE,existing_playable,Highest energy use per person,Energy,,,World Bank,EG.USE.PCAP.KG.OE,2023,146,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EG.USE.PCAP.KG.OE,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:bananas,existing_playable,Highest estimated banana consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:bananas,2023,169,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:beef,existing_playable,Highest estimated beef consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:beef,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:beer,existing_playable,Highest estimated beer consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:beer,2023,170,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:calories,existing_playable,Highest estimated calorie intake per person,Food consumption,,,FAOSTAT Food Balances,FBS:calories,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:coffee,existing_playable,Highest estimated coffee consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:coffee,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:eggs,existing_playable,Highest estimated egg consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:eggs,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:fish,existing_playable,Highest estimated fish consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:fish,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:fruit,existing_playable,Highest estimated fruit consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:fruit,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:maize,existing_playable,Highest estimated maize consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:maize,2023,168,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:meat,existing_playable,Highest estimated meat consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:meat,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:milk,existing_playable,Highest estimated milk consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:milk,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
