tracker_id,scope_type,category_title,domain,experience_bucket,semantic_family,source_candidate,source_indicator,common_year,country_coverage,integrity,user_note,requested_action,research_status,implementation_status,final_disposition,blocker_or_reason,source_url,validation_requirements,generation_priority_candidate,definition,unit,measurement_type,ranking_direction,raw_or_derived,tie_handling,source_type,source_hierarchy_tier,source_license,provenance_snapshot,comparison_year_policy,denominator_basis,currency_price_basis,geography_scope,entity_definition,uncertainty_handling,common_year_gate,coverage_gate,unit_comparability_gate,source_identity_gate,understandability_score,interest_score,uniqueness_score,player_quality_status,generation_priority_final,activation_gate,final_notes
existing:IS.AIR.DPRT,existing_playable,"Highest air transport, registered carrier departures worldwide",Infrastructure,Infrastructure,Infrastructure,World Bank,IS.AIR.DPRT,2023,148,verified,Don't see this often,retain_exposure_review,resolved_v16_2_6,retained_with_v16_2_6_shared_gates,retained_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",https://data.worldbank.org/indicator/IS.AIR.DPRT,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,Don't see this often,validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2023,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability."
existing:AG.LND.ARBL.HA.PC,existing_playable,Highest arable land,Agriculture,Agriculture,Agriculture,World Bank,AG.LND.ARBL.HA.PC,2023,191,verified,Great Category,retain_priority,resolved_v16_2_6,implemented_semantic_correction,retained_corrected,Known title/unit/measurement-type mismatch corrected in v16.2.6 and protected by shared integrity gates.,https://data.worldbank.org/indicator/AG.LND.ARBL.HA.PC,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,Great Category,validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2023,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,anchor,retain_existing_subject_to_shared_gate,Known title/unit/measurement-type mismatch corrected in v16.2.6 and protected by shared integrity gates.
existing:FB.ATM.TOTL.P5,existing_playable,Highest automated teller machines (ATMs),Economy,Economy,Economy,World Bank,FB.ATM.TOTL.P5,2024,147,verified,No additional user annotation; preserve validated existing behavior,retain_and_audit,resolved_v16_2_6,implemented_semantic_correction,retained_corrected,Known title/unit/measurement-type mismatch corrected in v16.2.6 and protected by shared integrity gates.,https://data.worldbank.org/indicator/FB.ATM.TOTL.P5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,Known title/unit/measurement-type mismatch corrected in v16.2.6 and protected by shared integrity gates.,validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2024,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,Known title/unit/measurement-type mismatch corrected in v16.2.6 and protected by shared integrity gates.
existing:PEW_RELIGION_2020_BUDDHIST_SHARE,existing_playable,Highest Buddhist share,Religion,Religion,Religion,Pew Research Center,PEW_RELIGION_2020_BUDDHIST_SHARE,2020,179,verified,Never seen this in game play,retain_exposure_review,resolved_v16_2_6,retained_with_v16_2_6_shared_gates,retained_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,Never seen this in game play,validated catalog/source unit; verify exact metadata at activation,share,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2020,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability."
existing:EN.GHG.CO2.AG.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Agriculture,Environment,Environment,Environment,World Bank,EN.GHG.CO2.AG.MT.CE.AR5,2024,109,verified,No additional user annotation; preserve validated existing behavior,retain_and_audit,resolved_v16_2_6,retained_with_v16_2_6_shared_gates,retained_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",https://data.worldbank.org/indicator/EN.GHG.CO2.AG.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2024,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability."
existing:EN.GHG.CO2.BU.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Building (Energy),Environment,Environment,Environment,World Bank,EN.GHG.CO2.BU.MT.CE.AR5,2024,182,verified,No additional user annotation; preserve validated existing behavior,retain_and_audit,resolved_v16_2_6,retained_with_v16_2_6_shared_gates,retained_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",https://data.worldbank.org/indicator/EN.GHG.CO2.BU.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2024,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability."
existing:EN.GHG.CO2.IC.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Industrial Combustion (Energy),Environment,Environment,Environment,World Bank,EN.GHG.CO2.IC.MT.CE.AR5,2024,182,verified,Remove,remove,resolved_v16_2_6,implemented_database_exclusion,removed_from_future_generation,Explicit workbook removal; enforced by v16.2.6 curation and hard gate.,https://data.worldbank.org/indicator/EN.GHG.CO2.IC.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,Remove,validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2024,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,Explicit workbook removal; enforced by v16.2.6 curation and hard gate.
existing:EN.GHG.CO2.IP.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Industrial Processes,Environment,Environment,Environment,World Bank,EN.GHG.CO2.IP.MT.CE.AR5,2024,186,verified,Remove,remove,resolved_v16_2_6,implemented_database_exclusion,removed_from_future_generation,Explicit workbook removal; enforced by v16.2.6 curation and hard gate.,https://data.worldbank.org/indicator/EN.GHG.CO2.IP.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,Remove,validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2024,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,Explicit workbook removal; enforced by v16.2.6 curation and hard gate.
existing:EN.GHG.CO2.TR.MT.CE.AR5,existing_playable,Highest carbon dioxide (CO2) emissions from Transport (Energy),Environment,Environment,Environment,World Bank,EN.GHG.CO2.TR.MT.CE.AR5,2024,182,verified,No additional user annotation; preserve validated existing behavior,retain_and_audit,resolved_v16_2_6,retained_with_v16_2_6_shared_gates,retained_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",https://data.worldbank.org/indicator/EN.GHG.CO2.TR.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability.",validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2024,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,"Existing playable retained; v16.2.6 runtime requires editorial approval, ranking completeness, validation and comparability."
existing:NE.GDI.STKB.CD,existing_playable,Highest changes in inventories,Economy,Economy,Economy,World Bank,NE.GDI.STKB.CD,2025,106,verified,"Never seen this in game play, also confusing what this means",clarify_or_remove,resolved_v16_2_6,implemented_database_exclusion,removed_clarity,Fails clarify-or-remove rule: still requires specialist balance-of-payments/debt/accounting interpretation.,https://data.worldbank.org/indicator/NE.GDI.STKB.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",standard,"Never seen this in game play, also confusing what this means",validated catalog/source unit; verify exact metadata at activation,total_or_absolute,high unless validated source rule explicitly specifies low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,existing_validated_or_research_candidate,tier_2_validated_existing_or_discovery,license/provenance must be recorded in source metadata; activation blocked if unresolved,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year 2025,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,88,86,84,eligible_for_activation_review,standard,retain_existing_subject_to_shared_gate,Fails clarify-or-remove rule: still requires specialist balance-of-payments/debt/accounting interpretation.
