source_line,category_title,domain_and_series,source,quality,legacy_rejection_basis_seed,integrity_status
589,Most asylum seekers originating,Displacement · population:coo:asylum_seekers,UNHCR,95,generic_v15_rejected_only,verified
600,Lowest upper-secondary out-of-school rate,Education · ROFST.MOD.3,UNESCO UIS,94,generic_v15_rejected_only,verified
601,Lowest lower-secondary out-of-school rate,Education · ROFST.MOD.2,UNESCO UIS,94,generic_v15_rejected_only,verified
606,Highest primary-school completion rate,Education · CR.MOD.1,UNESCO UIS,94,generic_v15_rejected_only,
607,Highest upper-secondary completion rate,Education · CR.MOD.3,UNESCO UIS,94,generic_v15_rejected_only,
608,Modeled lower-secondary completion rate,Education · CR.MOD.2,UNESCO UIS,94,generic_v15_rejected_only,
609,Most asylum seekers hosted,Displacement · population:coa:asylum_seekers,UNHCR,94,generic_v15_rejected_only,verified
795,Highest urban population share,Population · SP.URB.TOTL.IN.ZS,World Bank,90,generic_v15_rejected_only,verified
797,Largest rural population,Population · SP.RUR.TOTL,World Bank,90,generic_v15_rejected_only,verified
798,Largest urban population,Population · SP.URB.TOTL,World Bank,90,generic_v15_rejected_only,verified
801,Farthest from the equator,Geography · farthest-from-equator,Natural Earth,90,generic_v15_rejected_only,
805,Largest east-west span,Geography · largest-east-west-span,Natural Earth,90,generic_v15_rejected_only,
806,Largest geographic span,Geography · largest-geographic-span,Natural Earth,90,generic_v15_rejected_only,
807,Largest north-south span,Geography · largest-north-south-span,Natural Earth,90,generic_v15_rejected_only,
809,Northernmost country,Geography · northernmost-country,Natural Earth,90,generic_v15_rejected_only,
810,Southernmost country,Geography · southernmost-country,Natural Earth,90,generic_v15_rejected_only,
813,Highest clean-cooking-fuel access,Infrastructure · PHE_HHAIR_POP_CLEAN_FUELS,WHO,90,generic_v15_rejected_only,
816,Highest employment-to-population ratio,Labor · EMP_2WAP_SEX_AGE_RT_A,ILOSTAT,90,generic_v15_rejected_only,verified
817,Highest labor-income share of GDP,Labor · SDG_1041_NOC_RT_A,ILOSTAT,90,generic_v15_rejected_only,verified
818,Highest output per worker,Economy · GDP_205U_NOC_NB_A,ILOSTAT,90,generic_v15_rejected_only,failed
820,Lowest unemployment,Labor · SL.UEM.TOTL.ZS,World Bank,90,generic_v15_rejected_only,verified
846,"Highest account ownership at a financial institution or with a mobile-money-service provider, young adults",Economy · FX.OWN.TOTL.YG.ZS,World Bank,90,generic_v15_rejected_only,
896,Highest industry share of GDP,Economy · NV.IND.TOTL.ZS,World Bank,88,generic_v15_rejected_only,verified
897,Highest services share of GDP,Economy · NV.SRV.TOTL.ZS,World Bank,88,generic_v15_rejected_only,verified
899,Fastest labor-productivity growth,Economy · SDG_0821_NOC_RT_A,ILOSTAT,88,generic_v15_rejected_only,failed
946,Highest methane (CH4) emissions (total) excluding LULUCF,Environment · EN.GHG.CH4.ZG.AR5,World Bank,86,generic_v15_rejected_only,verified
950,Highest nitrous oxide (N2O) emissions (total) excluding LULUCF,Environment · EN.GHG.N2O.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
