id,source_organization,source_indicator_code,title,final_decision,reason,quality_score,common_year,latest_available_year,common_year_coverage,country_coverage,official_observation_share,modeled_observation_share,clustering_score,stability_score
ilostat:SDG_0821_NOC_RT_A:fastest-productivity-growth,ILOSTAT,SDG_0821_NOC_RT_A,Fastest labor-productivity growth,temporarily_blocked_future_year,"Retained concept, but the stored common year is projected/future; rerun ILOSTAT to load the latest completed year.",94,2027,2027,,,,,,
ilostat:EMP_2WAP_SEX_AGE_RT_A:highest-employment-population-ratio,ILOSTAT,EMP_2WAP_SEX_AGE_RT_A,Highest employment-to-population ratio,temporarily_blocked_future_year,"Retained concept, but the stored common year is projected/future; rerun ILOSTAT to load the latest completed year.",94,2027,2027,,,,,,
ilostat:SDG_1041_NOC_RT_A:highest-labor-income-share,ILOSTAT,SDG_1041_NOC_RT_A,Highest labor-income share of GDP,temporarily_blocked_future_year,"Retained concept, but the stored common year is projected/future; rerun ILOSTAT to load the latest completed year.",94,2026,2026,,,,,,
ilostat:GDP_205U_NOC_NB_A:highest-output-per-worker,ILOSTAT,GDP_205U_NOC_NB_A,Highest output per worker,temporarily_blocked_future_year,"Retained concept, but the stored common year is projected/future; rerun ILOSTAT to load the latest completed year.",94,2027,2027,,,,,,
ilostat:UNE_2EAP_SEX_AGE_RT_A:lowest-unemployment,ILOSTAT,UNE_2EAP_SEX_AGE_RT_A,Lowest unemployment rate,temporarily_blocked_future_year,"Retained concept, but the stored common year is projected/future; rerun ILOSTAT to load the latest completed year.",94,2027,2027,,,,,,
ilostat:SDG_0111_SEX_AGE_RT_A:lowest-working-poverty,ILOSTAT,SDG_0111_SEX_AGE_RT_A,Lowest working-poverty rate,calibrated_playable,"Working-poverty rate has sufficient completed-year coverage, stable rankings, and transparent ILO modeled methodology.",78,2025,2025,113.0,117.0,,0.9,84.0,100.0
ilostat:EIP_NEET_SEX_RT_A:lowest-neet-rate,ILOSTAT,EIP_NEET_SEX_RT_A,Lowest youth NEET rate,calibrated_playable,"Youth NEET rate has adequate coverage and stable, internationally harmonized labor statistics.",67,2022,2026,112.0,167.0,,,100.0,98.0
ilostat:EMP_NIFL_SEX_RT_A:lowest-informal-employment,ILOSTAT,EMP_NIFL_SEX_RT_A,Lowest informal-employment rate,calibrated_playable,Informal-employment rate meets the curated minimum coverage and stability thresholds.,64,2023,2026,79.0,140.0,,,100.0,100.0
ilostat:SDG_0552_NOC_RT_A:highest-women-management,ILOSTAT,SDG_0552_NOC_RT_A,Highest share of women in management,calibrated_playable,"Women in management is clear, sufficiently broad, and stable across completed years.",63,2022,2026,94.0,146.0,,,100.0,94.0
ilostat:HOW_UEES_SEX_NB_A:longest-working-week,ILOSTAT,HOW_UEES_SEX_NB_A,Longest average working week,calibrated_playable,Average working week is a clear comparison with adequate completed-year coverage and stability.,62,2022,2026,89.0,147.0,,,100.0,99.0
ilostat:UNE_3EAP_SEX_AGE_DSB_RT_A:lowest-youth-unemployment,ILOSTAT,UNE_3EAP_SEX_AGE_DSB_RT_A,Lowest youth unemployment rate,calibrated_playable,Youth unemployment is retained with a lower category-specific coverage floor and stable rankings.,57,2022,2025,65.0,118.0,,0.9,100.0,96.0
natural-earth:most-land-neighbors,Natural Earth,most-land-neighbors,Most land-border neighbors,calibrated_playable,Land-border neighbors is a static geometry measure; moderate ties are expected and acceptable.,85,2026,2026,193.0,193.0,,,54.0,65.0
eia:most-crude-oil-produced,U.S. EIA,57:1,Most crude oil produced,calibrated_playable,Crude-oil production is independently documented; zero-heavy distributions are expected and do not invalidate top-country rankings.,83,2025,2025,186.0,186.0,1.0,0.0,32.0,100.0
eia:most-natural-gas-produced,U.S. EIA,26:1,Most natural gas produced,calibrated_playable,Natural-gas production is independently documented; zero-heavy distributions are expected and do not invalidate top-country rankings.,79,2024,2024,187.0,188.0,1.0,0.0,30.0,100.0
comtrade:most-bananas-exported,UN Comtrade,0803,Largest banana exports,calibrated_playable,Banana exports have adequate customs-record coverage and stable rankings.,79,2023,2025,123.0,139.0,1.0,0.0,100.0,99.0
comtrade:most-gold-exported,UN Comtrade,7108,Largest gold exports,calibrated_playable,Gold exports have adequate customs-record coverage and stable rankings.,79,2023,2025,123.0,136.0,1.0,0.0,100.0,97.0
comtrade:most-tea-exported,UN Comtrade,0902,Largest tea exports,calibrated_playable,Tea exports have broad customs-record coverage; moderate year-to-year movement is acceptable.,76,2022,2025,144.0,155.0,1.0,0.0,100.0,65.0
comtrade:most-cocoa-beans-exported,UN Comtrade,1801,Largest cocoa-bean exports,calibrated_playable,Cocoa-bean exports have sufficient customs-record coverage and stable rankings.,74,2023,2025,99.0,109.0,1.0,0.0,100.0,99.0
comtrade:most-crude-oil-exported,UN Comtrade,2709,Largest crude-oil exports,calibrated_playable,Crude-oil exports have sufficient customs-record coverage and stable rankings.,74,2023,2025,101.0,120.0,1.0,0.0,100.0,99.0
comtrade:most-wheat-exported,UN Comtrade,1001,Largest wheat exports,calibrated_playable,Wheat exports have sufficient customs-record coverage; moderate year-to-year movement is acceptable.,67,2022,2025,105.0,126.0,1.0,0.0,100.0,65.0
unesco:XGDP.FSGOV,UNESCO UIS,XGDP.FSGOV,Highest education spending share of GDP,calibrated_playable,Education spending share has broad harmonized coverage and stable rankings.,81,2022,2025,155.0,181.0,1.0,0.0,100.0,98.0
unesco:GTVP.2T3.V,UNESCO UIS,GTVP.2T3.V,Highest vocational enrollment share,calibrated_playable,Vocational enrollment share has sufficient coverage and stable harmonized data.,78,2023,2025,124.0,159.0,1.0,0.0,100.0,99.0
unesco:26637,UNESCO UIS,26637,Most international students hosted,calibrated_playable,International students hosted has sufficient coverage and a clear player-facing meaning.,73,2023,2025,99.0,138.0,1.0,0.0,100.0,99.0
unesco:MOR.5T8.40505,UNESCO UIS,MOR.5T8.40505,Highest outbound student mobility,calibrated_playable,Outbound student mobility is transparently modeled and sufficiently broad for play.,72,2023,2023,95.0,145.0,0.0,1.0,100.0,98.0
unesco:SCHBSP.1.WCOMPUT,UNESCO UIS,SCHBSP.1.WCOMPUT,Highest school computer access,calibrated_playable,School computer access is retained despite moderate ceiling ties because coverage and stability are strong.,72,2023,2025,124.0,161.0,1.0,0.0,53.0,98.0
unesco:FOSGP.5T8.F500600700,UNESCO UIS,FOSGP.5T8.F500600700,Highest STEM graduate share,calibrated_playable,STEM graduate share has sufficient coverage and stable harmonized definitions.,72,2023,2025,95.0,140.0,1.0,0.0,100.0,96.0
unesco:SCHBSP.1.WINTERN,UNESCO UIS,SCHBSP.1.WINTERN,Highest school internet access,calibrated_playable,School internet access is retained with a tie-aware clustering floor and strong stability.,68,2023,2025,103.0,139.0,1.0,0.0,46.0,97.0
unesco:SCHBSP.1.WELEC,UNESCO UIS,SCHBSP.1.WELEC,Highest school electricity access,excluded_after_final_review,Excluded after final playability review: severe ceiling clustering creates too many tied countries for a useful ranking.,67,2023,2025,113.0,160.0,1.0,0.0,26.0,100.0
unesco:RESDEN.INHAB.TFTE,UNESCO UIS,RESDEN.INHAB.TFTE,Most researchers per million people,calibrated_playable,"Researchers per million has adequate coverage, clear units, and stable rankings.",65,2022,2024,80.0,129.0,1.0,0.0,100.0,100.0
unesco:READ.LOWERSEC,UNESCO UIS,READ.LOWERSEC,Highest lower-secondary reading proficiency,calibrated_playable,Reading proficiency has sufficient assessment coverage and stable rankings.,60,2022,2022,77.0,90.0,1.0,0.0,100.0,97.0
unesco:SCHBSP.1.WTOILA,UNESCO UIS,SCHBSP.1.WTOILA,Highest school sanitation access,excluded_after_final_review,Excluded after final playability review: severe ceiling clustering creates too many tied countries for a useful ranking.,60,2023,2025,88.0,134.0,1.0,0.0,17.0,98.0
unesco:SCHBSP.1.WWATA,UNESCO UIS,SCHBSP.1.WWATA,Highest school drinking-water access,excluded_after_final_review,Excluded after final playability review: the best broad common year is 2019 and the distribution is heavily tied.,59,2019,2025,112.0,149.0,1.0,0.0,33.0,99.0
unesco:LR.AG15T24,UNESCO UIS,LR.AG15T24,Highest youth literacy rate,excluded_after_final_review,Excluded after final playability review: common-year coverage is below the curated 60-country minimum.,59,2022,2024,59.0,131.0,1.0,0.0,100.0,93.0
unesco:MATH.LOWERSEC,UNESCO UIS,MATH.LOWERSEC,Highest lower-secondary mathematics proficiency,calibrated_playable,Mathematics proficiency has sufficient assessment coverage and stable rankings.,58,2022,2023,68.0,99.0,1.0,0.0,100.0,97.0
unhcr:most-stateless-people,UNHCR,population:coa:stateless,Most stateless people,calibrated_playable,Stateless-person counts have sufficient operational-record coverage and stable rankings.,81,2025,2025,94.0,98.0,1.0,0.0,100.0,100.0
unhcr:most-refugees-returned-home,UNHCR,solutions:coo:returned_refugees,Most refugees returned home,calibrated_playable,Refugee returns have adequate operational-record coverage and stable rankings.,69,2024,2025,78.0,87.0,1.0,0.0,70.0,97.0
unhcr:most-internally-displaced-people,UNHCR,population:coa:idps,Most internally displaced people,excluded_after_final_review,"Excluded after final playability review: only 38 countries have a common-year observation, and missing countries cannot safely be treated as zero.",68,2025,2025,38.0,41.0,1.0,0.0,100.0,100.0
who:WSH_WATER_SAFELY_MANAGED,WHO,WSH_WATER_SAFELY_MANAGED,Highest safely managed drinking-water access,calibrated_playable,"Safely managed drinking-water access has broad, recent, harmonized coverage.",81,2024,2024,135.0,138.0,,,100.0,100.0
