source_line,category_title,domain_and_series,source,quality,legacy_rejection_basis_seed,integrity_status,editorial_disposition,legacy_guard_action,reason_class,first_principles_rationale,recommended_next_action,linked_tracker_ids,linked_tracker_dispositions
589,Most asylum seekers originating,Displacement · population:coo:asylum_seekers,UNHCR,95,generic_v15_rejected_only,verified,advance_to_validation,clear_generic_legacy_block,broad_intuitive_distinct,"Broad, recognizable displacement measure with a distinct player-facing question; the old generic rejection is not a sufficient reason to suppress it.",Use the recovered UNHCR Refugee Data Finder importer; validate coverage/year consistency and then clear the legacy-only blocker.,family:unhcr:most-asylum-seekers-originating,ready_for_source_family_validation
600,Lowest upper-secondary out-of-school rate,Education · ROFST.MOD.3,UNESCO UIS,94,generic_v15_rejected_only,verified,advance_to_validation,clear_generic_legacy_block,broad_intuitive_distinct,"Out-of-school rates are intuitive, globally meaningful education-access measures; primary and upper-secondary provide meaningfully different stages without keeping every adjacent stage.",Validate the UNESCO UIS source-family rows and retain only these stage anchors unless later playtesting supports more.,family:unesco:lowest-upper-secondary-out-of-school,ready_for_source_family_validation
601,Lowest lower-secondary out-of-school rate,Education · ROFST.MOD.2,UNESCO UIS,94,generic_v15_rejected_only,verified,hold_for_family_curation,keep_reaudit_block,family_density_near_duplicate,"Plausible in isolation, but too close to a stronger retained stage/subject/infrastructure anchor or part of an over-dense education family; needs family-level curation before any legacy block is cleared.",Keep quarantined; compare against the selected UNESCO anchors and only promote if it adds a clearly different player experience.,family:unesco:lowest-lower-secondary-out-of-school,ready_for_source_family_validation
606,Highest primary-school completion rate,Education · CR.MOD.1,UNESCO UIS,94,generic_v15_rejected_only,,hold_for_family_curation,keep_reaudit_block,family_density_near_duplicate,"Plausible in isolation, but too close to a stronger retained stage/subject/infrastructure anchor or part of an over-dense education family; needs family-level curation before any legacy block is cleared.",Keep quarantined; compare against the selected UNESCO anchors and only promote if it adds a clearly different player experience.,,
607,Highest upper-secondary completion rate,Education · CR.MOD.3,UNESCO UIS,94,generic_v15_rejected_only,,advance_to_validation,clear_generic_legacy_block,broad_intuitive_distinct,Upper-secondary completion is a recognizable education outcome and is more discriminating than another near-universal primary enrollment measure.,"Resolve the exact UIS completion series in the importer, validate coverage, and use a plain-English title/definition.",,
608,Modeled lower-secondary completion rate,Education · CR.MOD.2,UNESCO UIS,94,generic_v15_rejected_only,,hold_for_family_curation,keep_reaudit_block,family_density_near_duplicate,"Plausible in isolation, but too close to a stronger retained stage/subject/infrastructure anchor or part of an over-dense education family; needs family-level curation before any legacy block is cleared.",Keep quarantined; compare against the selected UNESCO anchors and only promote if it adds a clearly different player experience.,,
609,Most asylum seekers hosted,Displacement · population:coa:asylum_seekers,UNHCR,94,generic_v15_rejected_only,verified,advance_to_validation,clear_generic_legacy_block,broad_intuitive_distinct,"Broad, recognizable displacement measure with a distinct player-facing question; the old generic rejection is not a sufficient reason to suppress it.",Use the recovered UNHCR Refugee Data Finder importer; validate coverage/year consistency and then clear the legacy-only blocker.,family:unhcr:most-asylum-seekers-hosted,ready_for_source_family_validation
795,Highest urban population share,Population · SP.URB.TOTL.IN.ZS,World Bank,90,generic_v15_rejected_only,verified,hold_for_family_curation,keep_reaudit_block,definition_overlap,"“Urban” is definition-sensitive and the new WUP family distinguishes cities, towns and rural areas; this old aggregate wording risks mixing a different urbanization concept with the newer taxonomy.",Keep blocked until the WUP urban/city/town definition strategy is finalized; prefer explicit city/town/rural wording.,,
797,Largest rural population,Population · SP.RUR.TOTL,World Bank,90,generic_v15_rejected_only,verified,advance_to_validation,clear_generic_legacy_block,source_superseded_concept_retained,"Largest rural population is intuitive and distinct; the concept remains strong, but UN WUP 2025 is now the preferred purpose-built population source.","Use the recovered UN WUP 2025 rural-population family and clear only the historical generic rejection, not the normal source/quality gates.",family:unwup:rural-population,ready_for_source_family_validation
798,Largest urban population,Population · SP.URB.TOTL,World Bank,90,generic_v15_rejected_only,verified,hold_for_family_curation,keep_reaudit_block,definition_overlap,"“Urban” is definition-sensitive and the new WUP family distinguishes cities, towns and rural areas; this old aggregate wording risks mixing a different urbanization concept with the newer taxonomy.",Keep blocked until the WUP urban/city/town definition strategy is finalized; prefer explicit city/town/rural wording.,,
801,Farthest from the equator,Geography · farthest-from-equator,Natural Earth,90,generic_v15_rejected_only,,hold_for_family_curation,keep_reaudit_block,metric_definition_needed,"Interesting in principle, but “farthest from the equator” is ambiguous unless the representative point/territorial extent method is explicit.",Keep blocked until the exact geometry statistic is defined and tested against edge cases.,,
805,Largest east-west span,Geography · largest-east-west-span,Natural Earth,90,generic_v15_rejected_only,,advance_to_validation,clear_generic_legacy_block,physical_geography_anchor,Intuitive map-based physical-geography question that adds badly needed non-economic breadth; the metric can be derived reproducibly from sovereign geometry.,"Validate the geodesic/geometry definition, edge cases and sovereign-country mapping; northernmost/southernmost already have fail-closed importer paths.",,
806,Largest geographic span,Geography · largest-geographic-span,Natural Earth,90,generic_v15_rejected_only,,retain_exclusion,confirm_reasoned_exclusion,near_duplicate_ambiguous,Generic “geographic span” collapses different east-west/north-south dimensions and is less interpretable than the two explicit span categories.,Keep excluded; use explicit east-west and north-south span metrics instead.,,
807,Largest north-south span,Geography · largest-north-south-span,Natural Earth,90,generic_v15_rejected_only,,advance_to_validation,clear_generic_legacy_block,physical_geography_anchor,Intuitive map-based physical-geography question that adds badly needed non-economic breadth; the metric can be derived reproducibly from sovereign geometry.,"Validate the geodesic/geometry definition, edge cases and sovereign-country mapping; northernmost/southernmost already have fail-closed importer paths.",,
809,Northernmost country,Geography · northernmost-country,Natural Earth,90,generic_v15_rejected_only,,advance_to_validation,clear_generic_legacy_block,physical_geography_anchor,Intuitive map-based physical-geography question that adds badly needed non-economic breadth; the metric can be derived reproducibly from sovereign geometry.,"Validate the geodesic/geometry definition, edge cases and sovereign-country mapping; northernmost/southernmost already have fail-closed importer paths.",candidate:001,ready_for_validated_import
810,Southernmost country,Geography · southernmost-country,Natural Earth,90,generic_v15_rejected_only,,advance_to_validation,clear_generic_legacy_block,physical_geography_anchor,Intuitive map-based physical-geography question that adds badly needed non-economic breadth; the metric can be derived reproducibly from sovereign geometry.,"Validate the geodesic/geometry definition, edge cases and sovereign-country mapping; northernmost/southernmost already have fail-closed importer paths.",candidate:002,ready_for_validated_import
813,Highest clean-cooking-fuel access,Infrastructure · PHE_HHAIR_POP_CLEAN_FUELS,WHO,90,generic_v15_rejected_only,,advance_to_validation,clear_generic_legacy_block,broad_health_anchor,"Broad, recognizable public-health or health-system measure that adds a distinct player-facing dimension and is not merely a demographic slice.","Validate the WHO source-family series, denominator, year consistency and coverage; retain fail-closed status until those gates pass.",,
816,Highest employment-to-population ratio,Labor · EMP_2WAP_SEX_AGE_RT_A,ILOSTAT,90,generic_v15_rejected_only,verified,hold_for_family_curation,keep_reaudit_block,labor_methodology_or_density,"Potentially useful, but either jargon/denominator-sensitive, source-repair dependent, a subgroup variant, or a lower-priority specialty labor measure; it needs family-level comparison before activation.",Keep fail-closed while curating the ILOSTAT family; promote only if the definition is intuitive and it adds a distinct board experience.,family:ilostat:highest-employment-population-ratio,ready_for_source_family_validation
817,Highest labor-income share of GDP,Labor · SDG_1041_NOC_RT_A,ILOSTAT,90,generic_v15_rejected_only,verified,hold_for_family_curation,keep_reaudit_block,labor_methodology_or_density,"Potentially useful, but either jargon/denominator-sensitive, source-repair dependent, a subgroup variant, or a lower-priority specialty labor measure; it needs family-level comparison before activation.",Keep fail-closed while curating the ILOSTAT family; promote only if the definition is intuitive and it adds a distinct board experience.,family:ilostat:highest-labor-income-share,ready_for_source_family_validation
