tracker_id,scope_type,tracker_title,tracker_source_candidate,tracker_source_indicator,legacy_source,legacy_domain_series,legacy_source_line,legacy_rejection_basis_seed,same_provider_heuristic,tracker_final_disposition,tracker_implementation_status
existing:NE.GDI.STKB.CD,existing_playable,Highest changes in inventories,World Bank,NE.GDI.STKB.CD,World Bank,Economy · NE.GDI.STKB.CN,1444,generic_v16_2_3_batch_reason,True,removed_clarity,implemented_database_exclusion
existing:SE.XPD.TOTL.GD.ZS,existing_playable,Highest education-spending share of GDP,World Bank,SE.XPD.TOTL.GD.ZS,UNESCO UIS,Government · XGDP.FSGOV,1442,generic_v15_rejected_only,False,retained_existing_subject_to_shared_gate,retained_with_v16_2_6_shared_gates
existing:EG.GDP.PUSE.KO.PP,existing_playable,Highest gDP per unit of energy use,World Bank,EG.GDP.PUSE.KO.PP,World Bank,Energy · EG.GDP.PUSE.KO.PP.KD,1407,generic_v16_2_3_batch_reason,True,retained_rewritten,implemented_plain_language_review
existing:NE.GDI.TOTL.CN,existing_playable,Highest gross capital formation,World Bank,NE.GDI.TOTL.CN,World Bank,Economy · NE.GDI.TOTL.CD,1178,generic_v15_rejected_only,True,blocked_re_source,implemented_fail_closed_repair_target
existing:QCL:'F1738:5510,existing_playable,Most fruit produced,FAOSTAT,QCL:'F1738:5510,FAOSTAT,Fruit · QCL:'F1738:5412,602,generic_v15_rejected_only,True,retained_existing_subject_to_shared_gate,retained_with_v16_2_6_shared_gates
candidate:001,new_or_repair_candidate,Northernmost country,Natural Earth 1:10m sovereign country geometry,not_applicable_unresolved,Natural Earth,Geography · northernmost-country,809,generic_v15_rejected_only,True,ready_for_validated_import,implemented_fail_closed_importer
candidate:002,new_or_repair_candidate,Southernmost country,Natural Earth 1:10m sovereign country geometry,not_applicable_unresolved,Natural Earth,Geography · southernmost-country,810,generic_v15_rejected_only,True,ready_for_validated_import,implemented_fail_closed_importer
candidate:074,new_or_repair_candidate,Highest life expectancy,UN World Population Prospects 2024,WPP2024:life-expectancy:2023,WHO,Health · WHOSIS_000001,1914,generic_v15_rejected_only,False,ready_for_validated_import,implemented_fail_closed_importer
candidate:178,new_or_repair_candidate,Lowest unemployment,New authoritative labor-statistics source/method required,not_applicable_unresolved,World Bank,Labor · SL.UEM.TOTL.ZS,820,generic_v15_rejected_only,False,not_shipped_validation_or_definition_unresolved,resolved_not_shipped
family:who:highest-healthy-life-expectancy,new_source_family_candidate,Highest healthy life expectancy,WHO Global Health Observatory,source-family rule highest-healthy-life-expectancy; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Health · WHOSIS_000002,1918,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:lowest-suicide-rate,new_source_family_candidate,Lowest suicide rate,WHO Global Health Observatory,source-family rule lowest-suicide-rate; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Health · MH_12,1924,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:lowest-cancer-death-rate,new_source_family_candidate,Lowest cancer death rate,WHO Global Health Observatory,source-family rule lowest-cancer-death-rate; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Health · SA_0000001438,1672,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:lowest-diabetes-death-rate,new_source_family_candidate,Lowest diabetes death rate,WHO Global Health Observatory,source-family rule lowest-diabetes-death-rate; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Health · SA_0000001440,1602,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:lowest-high-blood-pressure-rate,new_source_family_candidate,Lowest high-blood-pressure rate,WHO Global Health Observatory,source-family rule lowest-high-blood-pressure-rate; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Health · NCD_HYP_PREVALENCE_A,1919,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:lowest-cigarette-smoking,new_source_family_candidate,Lowest cigarette-smoking rate,WHO Global Health Observatory,source-family rule lowest-cigarette-smoking; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Health · Yth_curr_cig_smoking,1909,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:lowest-harmful-alcohol-use,new_source_family_candidate,Lowest alcohol-attributable death rate,WHO Global Health Observatory,source-family rule lowest-harmful-alcohol-use; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Health · SA_0000001807_AA,1893,generic_v15_rejected_only,True,hold_for_individual_editorial_review,implemented_fail_closed_source_family_importer
