tracker_id,title,area,requirement,status,evidence
generator:daily-category-recency,Daily exact-category recency,generator,"Implement 0-3 very strong, 4-7 strong, 8-14 moderate, 15-21 light, 22+ none; soft preference.",implemented,lib/dailyBoardService.ts; lib/categoryGeneration.ts
generator:family-recency,Semantic-family recency,generator,Lighter penalty than exact-category recency.,implemented,lib/dailyBoardService.ts; lib/categoryGeneration.ts
generator:bucket-balance,Broad world-knowledge bucket balance,generator,"Soft breadth across People & Society, Economy & Trade, Food & Agriculture, Physical Geography, Environment & Resources, Government & History, Infrastructure & Technology.",implemented,lib/categoryGeneration.ts
generator:remove-physical-bonus,Remove physical-geography bonus,generator,Delete current +4 option and trio physical bonus; physical content should succeed on merit/balance.,implemented,lib/categoryGeneration.ts; scripts/test-v16-2-6-generator.cjs
generator:priority,Anchor/standard/specialty priority,generator,Separate editorial centrality from playability/data quality; difficulty-sensitive soft weighting.,implemented,lib/categoryGeneration.ts; V16_2_6_MASTER_TRACKER.csv
generator:random-band,Deterministic Random quality-band selection,generator,Same seed=same board; different seeds explore a quality band rather than always top candidate.,implemented,lib/generator.ts; app/api/seeded/[difficulty]/route.ts
generator:propensity,Generator propensity audit,generator,Large deterministic sample with category/source/family/bucket/difficulty/country distributions and concentration.,implemented_with_release_audit,artifacts/v16-2-6-propensity/PROPENSITY_1000_DAY_COMPARISON.json; scripts/audit-v16-2-6-propensity.py; scripts/test-v16-2-6-propensity.py; full production regression scripts/test-v15-7-generator.cjs
catalog:lcu-gate,Permanent World Bank local-currency absolute comparison gate,catalog,Block inappropriate .CN/.KN absolute local-currency series.,implemented,supabase/migrations/047_v16_2_6_full_release.sql; scripts/data_pipeline/integrity.py
catalog:measurement-fixes,Known measurement metadata fixes,catalog,EN.URB.LCTY absolute population; arable land per person; ATMs/bank branches per 100k adults; verify measurement metadata.,implemented,supabase/migrations/047_v16_2_6_full_release.sql; lib/playableCatalog.ts
catalog:copy-audit,Whole-catalog title/definition/domain audit,catalog,"Acronyms, threatened species, user notes, stateless/other religion definitions, domains, duplicates.",implemented_fail_closed,category_decisions_v16_2_6; V16_2_6_MASTER_TRACKER.csv; lib/playableCatalog.ts
catalog:world-heritage,World Heritage contradictory-state cleanup,catalog,Playable cannot simultaneously be quarantined/unable-to-verify; fix source_query or fail closed.,implemented_fail_closed,apply_v16_2_6_catalog_curation(): WHC:all-sites requires verified audit
catalog:player-scores,Complete missing player-quality scoring,catalog,Resolve 157 legacy playables without comprehension/interest/uniqueness scores.,implemented,apply_v16_2_6_catalog_curation(): fills missing player-quality dimensions; VERIFY_V16_2_6.sql
product:random-private,Random internal tester authorization,product,Server-side permission; redirect unauthorized; remove from public nav/help/SEO/results; keep seeded QA.,implemented,app/random/layout.tsx; lib/internalTester.ts; app/api/seeded/[difficulty]/route.ts; internal_testers table
launch:leaderboard,Leaderboard identity/privacy hardening,launch,Username only; close unnecessary direct reads; basic username moderation; retain server score integrity.,implemented,app/api/leaderboard/route.ts; v16.2.6 RLS hardening; username moderation
launch:analytics,Analytics expansion,launch,Referrer/UTM/new-returning/retention/completion + generator diagnostics; exclude internal Random.,implemented,lib/analytics.ts; app/api/analytics/events/route.ts; analytics_acquisition_30d; Admin diversity views
launch:privacy-terms,Privacy/Terms/branding sweep,launch,Remove stale product names/Random-public copy and update data/account language.,implemented,app/privacy/page.tsx; app/terms/page.tsx; public Random copy removed
launch:auth,Production auth/email checklist,launch,Site URL/callback/custom SMTP/SPF/DKIM/templates/click tracking/non-team sign-in test; config checklist where code cannot enforce.,external_release_check,V16_2_6_INSTALLATION.md: Site URL/callback/SMTP/SPF-DKIM/templates/click tracking/external sign-in checklist
launch:entitlement,Future entitlement abstraction,launch,free/supporter/premium only; no payments/ads integration.,implemented,profiles.entitlement free/supporter/premium migration; no payment/ads code
compat:history,Backward compatibility,compatibility,Old Dailies/results/shared links/scores immutable and decoding preserved.,implemented_with_regression_gate,RoundSnapshot v1 preserved; placements-v16.2.4 scoring preserved; scripts/test-v16-2-6-static.cjs; legacy Daily payloads are immutable
compat:rollback,Rollback/recovery discipline,compatibility,"Known-good v16.2.5, Supabase recovery, secrets, verifier, deploy smoke test.",implemented,v16_2_6_category_state_backup; ROLLBACK_V16_2_6.sql; VERIFY_V16_2_6.sql
ui:no-scroll,Preserve current UI/no-scroll behavior,compatibility,Do not change board sizes/scoring; new copy must fit tested phone viewports.,implemented_with_existing_viewport_gate,app/v15-7-clean.css; existing phone viewport E2E remains required in Verify workflow
