source,category,initial_tier,status
Pew Research Center,Highest Christian share,daily candidate,importer included
Pew Research Center,Highest Muslim share,daily candidate,importer included
Pew Research Center,Highest Hindu share,daily candidate,importer included
Pew Research Center,Highest Buddhist share,daily candidate,importer included
Pew Research Center,Highest unaffiliated share,daily candidate,importer included
Smithsonian GVP,Most volcanoes,daily candidate,importer included
USGS ComCat,Most major earthquakes since 1970,daily candidate,importer included
USGS ComCat,Strongest recorded earthquake,random candidate,importer included
UNESCO World Heritage,Most World Heritage Sites,daily candidate,registered for intake
ESA WorldCover,Land-cover totals and shares,review quarantine,summary importer included
HydroSHEDS,River and lake summaries,review quarantine,summary importer included
Global elevation,Elevation summaries,review quarantine,summary importer included
USGS Minerals,Most gold/copper/lithium mined,review quarantine,registered for intake
FAO Fisheries,Most fish caught,review quarantine,registered for intake
