category_title,source,domain_and_series,source_line,legacy_rejection_basis_seed,required_v16_2_6_action
Most asylum seekers originating,UNHCR,Displacement · population:coo:asylum_seekers,589,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest cabbage yield,FAOSTAT,Vegetables · QCL:'01212:5412,594,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest carrots and turnips yield,FAOSTAT,Vegetables · QCL:'01251:5412,595,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest wheat yield,FAOSTAT,Crops · QCL:'0111:5412,596,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest barley yield,FAOSTAT,Crops · QCL:'0115:5412,598,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest upper-secondary out-of-school rate,UNESCO UIS,Education · ROFST.MOD.3,600,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest lower-secondary out-of-school rate,UNESCO UIS,Education · ROFST.MOD.2,601,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most fruit produced,FAOSTAT,Fruit · QCL:'F1738:5412,602,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Roots and Tubers, Total yield",FAOSTAT,Agriculture · QCL:'F1720:5412,603,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Vegetables Primary yield,FAOSTAT,Vegetables · QCL:'F1735:5412,604,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest milk yield per cow,FAOSTAT,Livestock · QCL:'02211:5417,605,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest primary-school completion rate,UNESCO UIS,Education · CR.MOD.1,606,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest upper-secondary completion rate,UNESCO UIS,Education · CR.MOD.3,607,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Modeled lower-secondary completion rate,UNESCO UIS,Education · CR.MOD.2,608,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most asylum seekers hosted,UNHCR,Displacement · population:coa:asylum_seekers,609,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest corn yield,FAOSTAT,Crops · QCL:'0112:5412,610,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest potatoes yield,FAOSTAT,Crops · QCL:'01510:5412,611,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest onions and shallots yield,FAOSTAT,Vegetables · QCL:'01253.02:5412,612,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Sugar Crops Primary yield,FAOSTAT,Crops · QCL:'F1723:5412,613,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest cucumbers and gherkins yield,FAOSTAT,Vegetables · QCL:'01232:5412,614,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest green chilies and peppers yield,FAOSTAT,Vegetables · QCL:'01231:5412,615,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Wheat harvested area,FAOSTAT,Crops · QCL:'0111:5312,616,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest rice yield,FAOSTAT,Crops · QCL:'0113:5412,618,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Barley harvested area,FAOSTAT,Crops · QCL:'0115:5312,619,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Green garlic yield,FAOSTAT,Agriculture · QCL:'01252:5412,620,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest lemons and limes yield,FAOSTAT,Fruit · QCL:'01322:5412,621,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest lettuce and chicory yield,FAOSTAT,Agriculture · QCL:'01214:5412,622,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Other beans, green yield",FAOSTAT,Crops · QCL:'01241.90:5412,623,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest soybeans yield,FAOSTAT,Crops · QCL:'0141:5412,624,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Beef and Buffalo Meat, primary yield",FAOSTAT,Livestock · QCL:'F1806:5417,626,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of cattle with the bone, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21111.01:5417,628,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of chickens, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21121:5424,629,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat, Poultry yield",FAOSTAT,Livestock · QCL:'F1808:5424,630,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Milk, Total yield",FAOSTAT,Dairy · QCL:'F1780:5417,631,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Cereals, primary harvested area",FAOSTAT,Crops · QCL:'F1717:5312,633,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Cereals, primary yield",FAOSTAT,Crops · QCL:'F1717:5412,635,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Other vegetables, fresh n.e.c. yield",FAOSTAT,Vegetables · QCL:'01290.90:5412,637,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest tomatoes yield,FAOSTAT,Vegetables · QCL:'01234:5412,640,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Potatoes harvested area,FAOSTAT,Crops · QCL:'01510:5312,641,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Onions and shallots, dry (excluding dehydrated) harvested area",FAOSTAT,Vegetables · QCL:'01253.02:5312,644,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Citrus Fruit, Total yield",FAOSTAT,Fruit · QCL:'F1804:5412,647,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Treenuts, Total harvested area",FAOSTAT,Agriculture · QCL:'F1729:5312,649,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Pumpkins, squash and gourds harvested area",FAOSTAT,Agriculture · QCL:'01235:5312,652,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest pumpkins, squash, and gourds yield",FAOSTAT,Agriculture · QCL:'01235:5412,653,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest watermelons yield,FAOSTAT,Agriculture · QCL:'01221:5412,654,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Treenuts, Total yield",FAOSTAT,Agriculture · QCL:'F1729:5412,655,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest bananas yield,FAOSTAT,Fruit · QCL:'01312:5412,657,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest oranges yield,FAOSTAT,Fruit · QCL:'01323:5412,658,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Other pulses n.e.c. harvested area,FAOSTAT,Agriculture · QCL:'01709.90:5312,659,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest peanuts yield,FAOSTAT,Agriculture · QCL:'0142:5412,660,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most green garlic produced,FAOSTAT,Agriculture · QCL:'01252:5510,661,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Raw milk of goats yield,FAOSTAT,Livestock · QCL:'02292:5417,663,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Green garlic harvested area,FAOSTAT,Agriculture · QCL:'01252:5312,664,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Peas, dry harvested area",FAOSTAT,Agriculture · QCL:'01705:5312,665,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest dry peas yield,FAOSTAT,Agriculture · QCL:'01705:5412,666,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest cauliflower and broccoli yield,FAOSTAT,Agriculture · QCL:'01213:5412,667,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest apples yield,FAOSTAT,Fruit · QCL:'01341:5412,668,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most fruit produced,FAOSTAT,Fruit · QCL:'F1738:5312,670,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat, Total produced",FAOSTAT,Livestock · QCL:'F1765:5510,671,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Roots and Tubers, Total harvested area",FAOSTAT,Agriculture · QCL:'F1720:5312,673,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Vegetables Primary harvested area,FAOSTAT,Vegetables · QCL:'F1735:5312,674,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Beef and Buffalo Meat, primary producing animals",FAOSTAT,Livestock · QCL:'F1806:5320,677,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat, Poultry produced",FAOSTAT,Livestock · QCL:'F1808:5510,679,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Cattle fat, unrendered producing animals",FAOSTAT,Livestock · QCL:'21512:5320,680,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Edible offal of cattle, fresh, chilled or frozen producing animals",FAOSTAT,Livestock · QCL:'21151:5320,681,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of cattle with the bone, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21111.01:5510,682,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of cattle with the bone, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21111.01:5320,683,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw hides and skins of cattle producing animals,FAOSTAT,Livestock · QCL:'02951.01:5320,684,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Milk, Total milk-producing animals",FAOSTAT,Livestock · QCL:'F1780:5318,687,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most milk, Total produced",FAOSTAT,Dairy · QCL:'F1780:5510,688,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw milk of cattle milk-producing animals,FAOSTAT,Livestock · QCL:'02211:5318,689,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of sheep, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21115:5510,692,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Pulses, Total harvested area",FAOSTAT,Agriculture · QCL:'F1726:5312,693,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Pulses, Total yield",FAOSTAT,Agriculture · QCL:'F1726:5412,695,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Maize (corn) harvested area,FAOSTAT,Crops · QCL:'0112:5312,696,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
