tracker_id,title,area,requirement,status,evidence
generator:daily-category-recency,Daily exact-category recency,generator,"Implement 0-3 very strong, 4-7 strong, 8-14 moderate, 15-21 light, 22+ none; soft preference.",pending,
generator:family-recency,Semantic-family recency,generator,Lighter penalty than exact-category recency.,pending,
generator:bucket-balance,Broad world-knowledge bucket balance,generator,"Soft breadth across People & Society, Economy & Trade, Food & Agriculture, Physical Geography, Environment & Resources, Government & History, Infrastructure & Technology.",pending,
generator:remove-physical-bonus,Remove physical-geography bonus,generator,Delete current +4 option and trio physical bonus; physical content should succeed on merit/balance.,pending,
generator:priority,Anchor/standard/specialty priority,generator,Separate editorial centrality from playability/data quality; difficulty-sensitive soft weighting.,pending,
generator:random-band,Deterministic Random quality-band selection,generator,Same seed=same board; different seeds explore a quality band rather than always top candidate.,pending,
generator:propensity,Generator propensity audit,generator,Large deterministic sample with category/source/family/bucket/difficulty/country distributions and concentration.,pending,
catalog:lcu-gate,Permanent World Bank local-currency absolute comparison gate,catalog,Block inappropriate .CN/.KN absolute local-currency series.,pending,
catalog:measurement-fixes,Known measurement metadata fixes,catalog,EN.URB.LCTY absolute population; arable land per person; ATMs/bank branches per 100k adults; verify measurement metadata.,pending,
catalog:copy-audit,Whole-catalog title/definition/domain audit,catalog,"Acronyms, threatened species, user notes, stateless/other religion definitions, domains, duplicates.",pending,
catalog:world-heritage,World Heritage contradictory-state cleanup,catalog,Playable cannot simultaneously be quarantined/unable-to-verify; fix source_query or fail closed.,pending,
catalog:player-scores,Complete missing player-quality scoring,catalog,Resolve 157 legacy playables without comprehension/interest/uniqueness scores.,pending,
product:random-private,Random internal tester authorization,product,Server-side permission; redirect unauthorized; remove from public nav/help/SEO/results; keep seeded QA.,pending,
launch:leaderboard,Leaderboard identity/privacy hardening,launch,Username only; close unnecessary direct reads; basic username moderation; retain server score integrity.,pending,
launch:analytics,Analytics expansion,launch,Referrer/UTM/new-returning/retention/completion + generator diagnostics; exclude internal Random.,pending,
launch:privacy-terms,Privacy/Terms/branding sweep,launch,Remove stale product names/Random-public copy and update data/account language.,pending,
launch:auth,Production auth/email checklist,launch,Site URL/callback/custom SMTP/SPF/DKIM/templates/click tracking/non-team sign-in test; config checklist where code cannot enforce.,pending,
launch:entitlement,Future entitlement abstraction,launch,free/supporter/premium only; no payments/ads integration.,pending,
compat:history,Backward compatibility,compatibility,Old Dailies/results/shared links/scores immutable and decoding preserved.,pending,
compat:rollback,Rollback/recovery discipline,compatibility,"Known-good v16.2.5, Supabase recovery, secrets, verifier, deploy smoke test.",pending,
ui:no-scroll,Preserve current UI/no-scroll behavior,compatibility,Do not change board sizes/scoring; new copy must fit tested phone viewports.,pending,
