source_organization,source_indicator_code,previous_title,previous_decision,content_decision,player_title,plain_language_description,immediate_comprehension_score,gameplay_interest_score,uniqueness_score,reason,player_link_status,player_link_reason
World Bank,SP.POP.TOTL,Largest population,approved,approved,Largest population,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,SP.RUR.TOTL,Largest rural population,excluded,excluded,,,,,,Near-duplicate of total population and rural population share.,not_applicable,Previously excluded from the catalog.
World Bank,SP.URB.TOTL,Largest urban population,excluded,excluded,,,,,,Near-duplicate of total population and urbanization measures.,not_applicable,Previously excluded from the catalog.
World Bank,TX.VAL.MRCH.CD.WT,Largest merchandise exports,approved,approved,Largest merchandise exports,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,TM.VAL.MRCH.CD.WT,Largest merchandise imports,approved,approved,Largest merchandise imports,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,NY.GDP.MKTP.CD,Largest economy,approved,approved,Largest economy,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,SP.POP.GROW,Fastest population growth,approved,approved,Fastest population growth,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,NY.GDP.PCAP.CD,Highest GDP per person,approved,approved,Highest GDP per person,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,SP.POP.65UP.TO.ZS,Oldest population,approved,approved,Highest share of people age 65+,People age 65 and older as a share of the population.,94,86,86,Approved after clarity review with a plainer title and explicit description.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,SP.RUR.TOTL.ZS,Highest rural population share,approved,approved,Highest rural population share,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,SP.POP.0014.TO.ZS,Youngest population,approved,approved,Highest share of children under 15,People ages 0–14 as a share of the population.,94,86,86,Approved after clarity review with a plainer title and explicit description.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,NY.GDP.MKTP.KD.ZG,Fastest economic growth,approved,approved,Fastest economic growth,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,NV.AGR.TOTL.CD,Largest agricultural economy,approved,approved,Largest agricultural output,"Value added by agriculture, forestry, and fishing in current US dollars.",94,86,86,Approved after clarity review with a plainer title and explicit description.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
World Bank,ER.LND.PTLD.ZS,Highest protected-land share,approved,approved,Highest protected-land share,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
UNHCR,asylum-applications:coo:applied,Most asylum applications by origin,approved,approved,Most asylum applications by country of origin,New asylum applications filed abroad by people from each country during the year.,94,86,86,Approved after clarity review with a plainer title and explicit description.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
UNHCR,population:coo:asylum_seekers,Most asylum seekers originating,excluded,excluded,,,,,,Stock measure is too similar to refugees originating and asylum-application flows.,not_applicable,Previously excluded from the catalog.
UNHCR,population:coo:refugees,Most refugees originating,approved,approved,Most refugees by country of origin,People from each country who are living abroad as recognized refugees.,94,86,86,Approved after clarity review with a plainer title and explicit description.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,NV.IND.MANF.CD,Largest manufacturing output,approved,approved,Largest manufacturing output,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
UNHCR,population:coa:refugees,Most refugees hosted,approved,approved,Most refugees hosted,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01212:5412,Highest cabbage yield,approved,approved,Highest cabbage yield,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01251:5412,Highest carrots and turnips yield,approved,approved,Highest carrots and turnips yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'0111:5412,Highest wheat yield,approved,approved,Highest wheat yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'0115:5510,Largest barley production,approved,approved,Largest barley production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'0115:5412,Highest barley yield,approved,approved,Highest barley yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
