tracker_id,scope_type,category_title,domain,experience_bucket,semantic_family,source_candidate,source_indicator,common_year,country_coverage,integrity,user_note,requested_action,research_status,implementation_status,final_disposition,blocker_or_reason,source_url,validation_requirements,generation_priority_candidate,definition,unit,measurement_type,ranking_direction,raw_or_derived,tie_handling,source_type,source_hierarchy_tier,source_license,provenance_snapshot,comparison_year_policy,denominator_basis,currency_price_basis,geography_scope,entity_definition,uncertainty_handling,common_year_gate,coverage_gate,unit_comparability_gate,source_identity_gate,understandability_score,interest_score,uniqueness_score,player_quality_status,generation_priority_final,activation_gate,final_notes
family:who:highest-healthy-life-expectancy,new_source_family_candidate,Highest healthy life expectancy,Health,People & Society,Health,WHO Global Health Observatory,source-family rule highest-healthy-life-expectancy; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 145; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by healthy life expectancy using the latest broadly comparable WHO Global Health Observatory data.,years,other,high,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-maternal-mortality,new_source_family_candidate,Lowest maternal mortality,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-maternal-mortality; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 140; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by maternal mortality using the latest broadly comparable WHO Global Health Observatory data.,"per 100,000 live births",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-neonatal-mortality,new_source_family_candidate,Lowest neonatal mortality,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-neonatal-mortality; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 150; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by neonatal mortality using the latest broadly comparable WHO Global Health Observatory data.,"per 1,000 live births",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-under-five-mortality,new_source_family_candidate,Lowest under-five mortality,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-under-five-mortality; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 150; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by under-five mortality using the latest broadly comparable WHO Global Health Observatory data.,"per 1,000 live births",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-suicide-rate,new_source_family_candidate,Lowest suicide rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-suicide-rate; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 140; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by suicide rate using the latest broadly comparable WHO Global Health Observatory data.,"per 100,000 people",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-road-traffic-death-rate,new_source_family_candidate,Lowest road-traffic death rate,Health,People & Society,Safety,WHO Global Health Observatory,source-family rule lowest-road-traffic-death-rate; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 130; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by road-traffic death rate using the latest broadly comparable WHO Global Health Observatory data.,"per 100,000 people",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-premature-ncd-mortality,new_source_family_candidate,Lowest premature noncommunicable-disease mortality,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-premature-ncd-mortality; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 130; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,hold_for_individual_editorial_review,"Authoritative source-family importer exists. This row is not playable until exact source identity, common-year/eligible-universe coverage, comparability, player-quality, board-feasibility and release-verifier gates all pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by premature noncommunicable-disease mortality using the latest broadly comparable WHO Global Health Observatory data.,% probability,percentage,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,75,resolved_not_playable_v16_2_6,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-cardiovascular-death-rate,new_source_family_candidate,Lowest cardiovascular death rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-cardiovascular-death-rate; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 120; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by cardiovascular death rate using the latest broadly comparable WHO Global Health Observatory data.,"per 100,000 people",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-cancer-death-rate,new_source_family_candidate,Lowest cancer death rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-cancer-death-rate; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 120; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by cancer death rate using the latest broadly comparable WHO Global Health Observatory data.,"per 100,000 people",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-diabetes-death-rate,new_source_family_candidate,Lowest diabetes death rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-diabetes-death-rate; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 120; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by diabetes death rate using the latest broadly comparable WHO Global Health Observatory data.,"per 100,000 people",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
